yourlist:M202205025BF3C56A578D7D6DFD1FC81EE5DA77304BFA55N	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q6P6B7	Q6P6B7	ANR16_HUMAN	reviewed	Ankyrin repeat domain-containing protein 16	ANKRD16	Homo sapiens (Human)	361
Q14517	Q14517	FAT1_HUMAN	reviewed	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]	FAT1 CDHF7 FAT	Homo sapiens (Human)	4588
B3GQE6	B3GQE6	B3GQE6_HUMAN	unreviewed	RNA helicase (EC 3.6.4.13)	DDX27	Homo sapiens (Human)	765
P48066	P48066	S6A11_HUMAN	reviewed	Sodium- and chloride-dependent GABA transporter 3 (GAT-3) (Solute carrier family 6 member 11)	SLC6A11 GABT3 GAT3	Homo sapiens (Human)	632
P32242	P32242	OTX1_HUMAN	reviewed	Homeobox protein OTX1 (Orthodenticle homolog 1)	OTX1	Homo sapiens (Human)	354
Q9UBM4	Q9UBM4	OPT_HUMAN	reviewed	Opticin (Oculoglycan)	OPTC OPT	Homo sapiens (Human)	332
Q9UKH3	Q9UKH3	ENK9_HUMAN	reviewed	Endogenous retrovirus group K member 9 Env polyprotein (EnvK4 protein) (Envelope polyprotein) (HERV-K(C6) envelope protein) (HERV-K109 envelope protein) (HERV-K_6q14.1 provirus ancestral Env polyprotein) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	ERVK-9	Homo sapiens (Human)	698
P37058	P37058	DHB3_HUMAN	reviewed	17-beta-hydroxysteroid dehydrogenase type 3 (17-beta-HSD 3) (Estradiol 17-beta-dehydrogenase 2) (EC 1.1.1.62) (Short chain dehydrogenase/reductase family 12C member 2) (Testicular 17-beta-hydroxysteroid dehydrogenase) (Testosterone 17-beta-dehydrogenase 3) (EC 1.1.1.64)	HSD17B3 EDH17B3 SDR12C2	Homo sapiens (Human)	310
Q00887	Q00887	PSG9_HUMAN	reviewed	Pregnancy-specific beta-1-glycoprotein 9 (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9) (PS34) (Pregnancy-specific beta-1 glycoprotein B) (PS-beta-B) (Pregnancy-specific beta-1-glycoprotein 11) (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific glycoprotein 7) (PSG7)	PSG9 PSG11	Homo sapiens (Human)	426
Q9Y3E0	Q9Y3E0	GOT1B_HUMAN	reviewed	Vesicle transport protein GOT1B (Germ cell tumor 2) (Golgi transport 1 homolog B) (Putative NF-kappa-B-activating protein 470) (hGOT1a)	GOLT1B GCT2 GOT1A CGI-141 HDCMA39P UNQ432/PRO793	Homo sapiens (Human)	138
Q13526	Q13526	PIN1_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	Homo sapiens (Human)	163
P27487	P27487	DPP4_HUMAN	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 ADCP2 CD26	Homo sapiens (Human)	766
Q9UBX3	Q9UBX3	DIC_HUMAN	reviewed	Mitochondrial dicarboxylate carrier (Solute carrier family 25 member 10)	SLC25A10 DIC	Homo sapiens (Human)	287
P59665	P59665	DEF1_HUMAN	reviewed	Neutrophil defensin 1 (Defensin, alpha 1) (HNP-1) (HP-1) (HP1) [Cleaved into: HP 1-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]	DEFA1 DEF1 DEFA2 MRS; DEFA1B	Homo sapiens (Human)	94
Q13158	Q13158	FADD_HUMAN	reviewed	FAS-associated death domain protein (FAS-associating death domain-containing protein) (Growth-inhibiting gene 3 protein) (Mediator of receptor induced toxicity)	FADD MORT1 GIG3	Homo sapiens (Human)	208
Q9NRX2	Q9NRX2	RM17_HUMAN	reviewed	39S ribosomal protein L17, mitochondrial (L17mt) (MRP-L17) (LYST-interacting protein 2) (Mitochondrial large ribosomal subunit protein bL17m)	MRPL17 LIP2	Homo sapiens (Human)	175
Q9ULW3	Q9ULW3	ABT1_HUMAN	reviewed	Activator of basal transcription 1 (hABT1) (Basal transcriptional activator)	ABT1	Homo sapiens (Human)	272
Q9UI30	Q9UI30	TR112_HUMAN	reviewed	Multifunctional methyltransferase subunit TRM112-like protein (tRNA methyltransferase 112 homolog)	TRMT112 AD-001 HSPC152 HSPC170	Homo sapiens (Human)	125
C1PHA2	C1PHA2	C1PHA2_HUMAN	unreviewed	Tyrosine-protein kinase receptor (EC 2.7.10.1)	KIF5B-ALK	Homo sapiens (Human)	1483
Q6IQ49	Q6IQ49	SDE2_HUMAN	reviewed	Replication stress response regulator SDE2	SDE2 C1orf55	Homo sapiens (Human)	451
O14662	O14662	STX16_HUMAN	reviewed	Syntaxin-16 (Syn16)	STX16	Homo sapiens (Human)	325
Q5H9Q5	Q5H9Q5	Q5H9Q5_HUMAN	unreviewed	Uncharacterized protein DKFZp781N0293	DKFZp781N0293	Homo sapiens (Human)	496
Q9BRN9	Q9BRN9	TM2D3_HUMAN	reviewed	TM2 domain-containing protein 3 (Beta-amyloid-binding protein-like protein 2) (BBP-like protein 2)	TM2D3 BLP2	Homo sapiens (Human)	247
Q9P138	Q9P138	Q9P138_HUMAN	unreviewed	HCG1776264 (PRO2964)	hCG_1776264	Homo sapiens (Human)	53
O75376	O75376	NCOR1_HUMAN	reviewed	Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)	NCOR1 KIAA1047	Homo sapiens (Human)	2440
P18848	P18848	ATF4_HUMAN	reviewed	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67)	ATF4 CREB2 TXREB	Homo sapiens (Human)	351
P05091	P05091	ALDH2_HUMAN	reviewed	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	ALDH2 ALDM	Homo sapiens (Human)	517
P23396	P23396	RS3_HUMAN	reviewed	40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)	RPS3 OK/SW-cl.26	Homo sapiens (Human)	243
O43818	O43818	U3IP2_HUMAN	reviewed	U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K)	RRP9 RNU3IP2 U355K	Homo sapiens (Human)	475
P62258,P62258-1	P62258	1433E_HUMAN	reviewed	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	255
Q9Y4L1	Q9Y4L1	HYOU1_HUMAN	reviewed	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150) (170 kDa glucose-regulated protein) (GRP-170)	HYOU1 GRP170 ORP150	Homo sapiens (Human)	999
Q0D2K0	Q0D2K0	NIPA4_HUMAN	reviewed	Magnesium transporter NIPA4 (Ichthyin) (NIPA-like protein 4) (Non-imprinted in Prader-Willi/Angelman syndrome region protein 4)	NIPAL4 ICHN NIPA4	Homo sapiens (Human)	404
Q9UQ03	Q9UQ03	COR2B_HUMAN	reviewed	Coronin-2B (Coronin-like protein C) (Clipin-C) (Protein FC96)	CORO2B KIAA0925	Homo sapiens (Human)	480
Q15796	Q15796	SMAD2_HUMAN	reviewed	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)	SMAD2 MADH2 MADR2	Homo sapiens (Human)	467
Q9Y3A6	Q9Y3A6	TMED5_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 5 (p24 family protein gamma-2) (p24gamma2) (p28)	TMED5 CGI-100 UNQ397/PRO733	Homo sapiens (Human)	229
R4GN05	R4GN05	R4GN05_HUMAN	unreviewed	Dipeptidyl peptidase 2 (Fragment)	DPP7	Homo sapiens (Human)	155
P46379-1,P46379	P46379	BAG6_HUMAN	reviewed	Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe)	BAG6 BAT3 G3	Homo sapiens (Human)	1132
P09619	P09619	PGFRB_HUMAN	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	Homo sapiens (Human)	1106
Q9BXW4	Q9BXW4	MLP3C_HUMAN	reviewed	Microtubule-associated proteins 1A/1B light chain 3C (Autophagy-related protein LC3 C) (Autophagy-related ubiquitin-like modifier LC3 C) (MAP1 light chain 3-like protein 3) (MAP1A/MAP1B light chain 3 C) (MAP1A/MAP1B LC3 C) (Microtubule-associated protein 1 light chain 3 gamma)	MAP1LC3C	Homo sapiens (Human)	147
Q5TG30	Q5TG30	RHG40_HUMAN	reviewed	Rho GTPase-activating protein 40 (Rho-type GTPase-activating protein 40)	ARHGAP40 C20orf95	Homo sapiens (Human)	622
Q07866	Q07866	KLC1_HUMAN	reviewed	Kinesin light chain 1 (KLC 1)	KLC1 KLC KNS2	Homo sapiens (Human)	573
Q969E2	Q969E2	SCAM4_HUMAN	reviewed	Secretory carrier-associated membrane protein 4 (Secretory carrier membrane protein 4)	SCAMP4	Homo sapiens (Human)	229
P06213	P06213	INSR_HUMAN	reviewed	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	INSR	Homo sapiens (Human)	1382
P22310	P22310	UD14_HUMAN	reviewed	UDP-glucuronosyltransferase 1A4 (UGT1A4) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 2) (hUG-BR2) (UDP-glucuronosyltransferase 1-4) (UDPGT 1-4) (UGT1*4) (UGT1-04) (UGT1.4) (UDP-glucuronosyltransferase 1-D) (UGT-1D) (UGT1D)	UGT1A4 GNT1 UGT1	Homo sapiens (Human)	534
Q92887	Q92887	MRP2_HUMAN	reviewed	ATP-binding cassette sub-family C member 2 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (Canalicular multidrug resistance protein) (Canalicular multispecific organic anion transporter 1) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	1545
P35670	P35670	ATP7B_HUMAN	reviewed	Copper-transporting ATPase 2 (EC 7.2.2.8) (Copper pump 2) (Wilson disease-associated protein) [Cleaved into: WND/140 kDa]	ATP7B PWD WC1 WND	Homo sapiens (Human)	1465
Q499L9	Q499L9	Q499L9_HUMAN	unreviewed	Serine/threonine protein kinase MST4	MST4	Homo sapiens (Human)	416
Q2PZI1	Q2PZI1	D19L1_HUMAN	reviewed	Probable C-mannosyltransferase DPY19L1 (EC 2.4.1.-) (Dpy-19-like protein 1) (Protein dpy-19 homolog 1)	DPY19L1 GA0500 KIAA0877	Homo sapiens (Human)	675
Q8IWA5	Q8IWA5	CTL2_HUMAN	reviewed	Choline transporter-like protein 2 (Solute carrier family 44 member 2)	SLC44A2 CTL2 PSEC0210	Homo sapiens (Human)	706
Q9BZG1	Q9BZG1	RAB34_HUMAN	reviewed	Ras-related protein Rab-34 (Ras-related protein Rab-39) (Ras-related protein Rah)	RAB34 RAB39 RAH	Homo sapiens (Human)	259
Q9H6R0	Q9H6R0	DHX33_HUMAN	reviewed	ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33)	DHX33 DDX33	Homo sapiens (Human)	707
Q02790	Q02790	FKBP4_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]	FKBP4 FKBP52	Homo sapiens (Human)	459
Q6UX53	Q6UX53	MET7B_HUMAN	reviewed	Thiol S-methyltransferase METTL7B (Methyltransferase-like protein 7B) (EC 2.1.1.9)	METTL7B UNQ594/PRO1180	Homo sapiens (Human)	244
A6NNU8	A6NNU8	A6NNU8_HUMAN	unreviewed	Nuclear receptor subfamily 0 group B member 1	NR0B1	Homo sapiens (Human)	105
Q96JX3	Q96JX3	SRAC1_HUMAN	reviewed	Protein SERAC1 (Serine active site-containing protein 1)	SERAC1	Homo sapiens (Human)	654
A0A0S2Z3M6	A0A0S2Z3M6	A0A0S2Z3M6_HUMAN	unreviewed	Dystrophin isoform 6 (Fragment)	DMD	Homo sapiens (Human)	115
Q7LGA3	Q7LGA3	HS2ST_HUMAN	reviewed	Heparan sulfate 2-O-sulfotransferase 1 (2-O-sulfotransferase) (2OST) (EC 2.8.2.-)	HS2ST1 HS2ST KIAA0448	Homo sapiens (Human)	356
Q96K12	Q96K12	FACR2_HUMAN	reviewed	Fatty acyl-CoA reductase 2 (EC 1.2.1.84) (Male sterility domain-containing protein 1)	FAR2 MLSTD1	Homo sapiens (Human)	515
Q86V48,Q86V48-1	Q86V48	LUZP1_HUMAN	reviewed	Leucine zipper protein 1	LUZP1	Homo sapiens (Human)	1076
Q54A51	Q54A51	Q54A51_HUMAN	unreviewed	Basigin	hEMMPRIN BSG hCG_20562	Homo sapiens (Human)	269
A0A024R3Z4	A0A024R3Z4	A0A024R3Z4_HUMAN	unreviewed	Zinc finger protein, subfamily 1A, 2 (Helios), isoform CRA_c	ZNFN1A2 hCG_14830	Homo sapiens (Human)	473
O75431	O75431	MTX2_HUMAN	reviewed	Metaxin-2 (Mitochondrial outer membrane import complex protein 2)	MTX2	Homo sapiens (Human)	263
Q68D23	Q68D23	Q68D23_HUMAN	unreviewed	Uncharacterized protein DKFZp686B16128 (Fragment)	DKFZp686B16128	Homo sapiens (Human)	510
A0A024RC87	A0A024RC87	A0A024RC87_HUMAN	unreviewed	Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1)	RNH1 hCG_18617	Homo sapiens (Human)	456
P20963	P20963	CD3Z_HUMAN	reviewed	T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247)	CD247 CD3Z T3Z TCRZ	Homo sapiens (Human)	164
P15291	P15291	B4GT1_HUMAN	reviewed	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]	B4GALT1 GGTB2	Homo sapiens (Human)	398
O15524	O15524	SOCS1_HUMAN	reviewed	Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1) (Tec-interacting protein 3) (TIP-3)	SOCS1 SSI1 TIP3	Homo sapiens (Human)	211
V9HWG9	V9HWG9	V9HWG9_HUMAN	unreviewed	Glutathione S-transferase omega (GSTO) (EC 1.20.4.2) (EC 1.8.5.1) (EC 2.5.1.18) (Glutathione-dependent dehydroascorbate reductase) (Monomethylarsonic acid reductase)	HEL-S-21 GSTO1 hCG_21844	Homo sapiens (Human)	241
A0A0A0MSA4	A0A0A0MSA4	A0A0A0MSA4_HUMAN	unreviewed	Band 4.1-like protein 3	EPB41L3	Homo sapiens (Human)	1046
E7EN73	E7EN73	E7EN73_HUMAN	unreviewed	Dyslexia-associated protein KIAA0319-like protein (Fragment)	KIAA0319L	Homo sapiens (Human)	1026
P04818	P04818	TYSY_HUMAN	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	TYMS TS OK/SW-cl.29	Homo sapiens (Human)	313
P13688,P13688-2	P13688	CEAM1_HUMAN	reviewed	Carcinoembryonic antigen-related cell adhesion molecule 1 (Biliary glycoprotein 1) (BGP-1) (CD antigen CD66a)	CEACAM1 BGP BGP1	Homo sapiens (Human)	526
P49915	P49915	GUAA_HUMAN	reviewed	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	GMPS	Homo sapiens (Human)	693
Q8WXX7	Q8WXX7	AUTS2_HUMAN	reviewed	Autism susceptibility gene 2 protein	AUTS2 KIAA0442	Homo sapiens (Human)	1259
Q15818	Q15818	NPTX1_HUMAN	reviewed	Neuronal pentraxin-1 (NP1) (Neuronal pentraxin I) (NP-I)	NPTX1	Homo sapiens (Human)	432
P02786	P02786	TFR1_HUMAN	reviewed	Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]	TFRC	Homo sapiens (Human)	760
P38398	P38398	BRCA1_HUMAN	reviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	BRCA1 RNF53	Homo sapiens (Human)	1863
Q16795	Q16795	NDUA9_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	NDUFA9 NDUFS2L	Homo sapiens (Human)	377
Q13454	Q13454	TUSC3_HUMAN	reviewed	Tumor suppressor candidate 3 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TUSC3) (Oligosaccharyl transferase subunit TUSC3) (Magnesium uptake/transporter TUSC3) (Protein N33)	TUSC3 N33	Homo sapiens (Human)	348
Q14209	Q14209	E2F2_HUMAN	reviewed	Transcription factor E2F2 (E2F-2)	E2F2	Homo sapiens (Human)	437
P42858	P42858	HD_HUMAN	reviewed	Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	HTT HD IT15	Homo sapiens (Human)	3142
Q9H4A3-1,Q9H4A3	Q9H4A3	WNK1_HUMAN	reviewed	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)	WNK1 HSN2 KDP KIAA0344 PRKWNK1	Homo sapiens (Human)	2382
P43246	P43246	MSH2_HUMAN	reviewed	DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2)	MSH2	Homo sapiens (Human)	934
Q07002	Q07002	CDK18_HUMAN	reviewed	Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)	CDK18 PCTAIRE3 PCTK3	Homo sapiens (Human)	474
Q86U70	Q86U70	LDB1_HUMAN	reviewed	LIM domain-binding protein 1 (LDB-1) (Carboxyl-terminal LIM domain-binding protein 2) (CLIM-2) (LIM domain-binding factor CLIM2) (hLdb1) (Nuclear LIM interactor)	LDB1 CLIM2	Homo sapiens (Human)	411
Q96N67	Q96N67	DOCK7_HUMAN	reviewed	Dedicator of cytokinesis protein 7	DOCK7 KIAA1771	Homo sapiens (Human)	2140
Q96QZ7-1,Q96QZ7	Q96QZ7	MAGI1_HUMAN	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Atrophin-1-interacting protein 3) (AIP-3) (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1) (Trinucleotide repeat-containing gene 19 protein) (WW domain-containing protein 3) (WWP3)	MAGI1 AIP3 BAIAP1 BAP1 TNRC19	Homo sapiens (Human)	1491
B5BUE6	B5BUE6	B5BUE6_HUMAN	unreviewed	DEAD box protein 5 (EC 3.6.4.13) (Probable ATP-dependent RNA helicase DDX5) (Fragment)	DDX5	Homo sapiens (Human)	614
H3BPZ1	H3BPZ1	H3BPZ1_HUMAN	unreviewed	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)	HACD3	Homo sapiens (Human)	337
Q96DV4	Q96DV4	RM38_HUMAN	reviewed	39S ribosomal protein L38, mitochondrial (L38mt) (MRP-L38) (Mitochondrial large ribosomal subunit protein mL38)	MRPL38 HSPC262	Homo sapiens (Human)	380
Q13541	Q13541	4EBP1_HUMAN	reviewed	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	Homo sapiens (Human)	118
Q9UBN7,Q9UBN7-1	Q9UBN7	HDAC6_HUMAN	reviewed	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	HDAC6 KIAA0901 JM21	Homo sapiens (Human)	1215
A0A087WZN1	A0A087WZN1	A0A087WZN1_HUMAN	unreviewed	Isocitrate dehydrogenase [NAD] subunit, mitochondrial	IDH3B hCG_39616	Homo sapiens (Human)	387
P00734	P00734	THRB_HUMAN	reviewed	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	F2	Homo sapiens (Human)	622
Q9Y277,Q9Y277-1	Q9Y277	VDAC3_HUMAN	reviewed	Voltage-dependent anion-selective channel protein 3 (VDAC-3) (hVDAC3) (Outer mitochondrial membrane protein porin 3)	VDAC3	Homo sapiens (Human)	283
P33991	P33991	MCM4_HUMAN	reviewed	DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)	MCM4 CDC21	Homo sapiens (Human)	863
P62851	P62851	RS25_HUMAN	reviewed	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	RPS25	Homo sapiens (Human)	125
Q5CZA6	Q5CZA6	Q5CZA6_HUMAN	unreviewed	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (Fragment)	DKFZp686M0150	Homo sapiens (Human)	1579
O75398	O75398	DEAF1_HUMAN	reviewed	Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1-related transcriptional regulator) (NUDR) (Suppressin) (Zinc finger MYND domain-containing protein 5)	DEAF1 SPN ZMYND5	Homo sapiens (Human)	565
Q13278	Q13278	RIG_HUMAN	reviewed	Putative protein RIG (Protein regulated in glioma)	RIG	Homo sapiens (Human)	110
Q9H706	Q9H706	GARE1_HUMAN	reviewed	GRB2-associated and regulator of MAPK protein 1 (GRB2-associated and regulator of MAPK1)	GAREM1 C18orf11 FAM59A GAREM	Homo sapiens (Human)	876
Q969M2	Q969M2	CXA10_HUMAN	reviewed	Gap junction alpha-10 protein (Connexin-62) (Cx62)	GJA10 CX62	Homo sapiens (Human)	543
P62879	P62879	GBB2_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2)	GNB2	Homo sapiens (Human)	340
Q9P266	Q9P266	JCAD_HUMAN	reviewed	Junctional protein associated with coronary artery disease (JCAD)	JCAD KIAA1462	Homo sapiens (Human)	1359
P19634	P19634	SL9A1_HUMAN	reviewed	Sodium/hydrogen exchanger 1 (APNH) (Na(+)/H(+) antiporter, amiloride-sensitive) (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)	SLC9A1 APNH1 NHE1	Homo sapiens (Human)	815
O14908	O14908	GIPC1_HUMAN	reviewed	PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)	GIPC1 C19orf3 GIPC RGS19IP1	Homo sapiens (Human)	333
Q8IWT6	Q8IWT6	LRC8A_HUMAN	reviewed	Volume-regulated anion channel subunit LRRC8A (Leucine-rich repeat-containing protein 8A) (HsLRRC8A) (Swelling protein 1)	LRRC8A KIAA1437 LRRC8 SWELL1 UNQ221/PRO247	Homo sapiens (Human)	810
Q12873	Q12873	CHD3_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 3 (CHD-3) (EC 3.6.4.12) (ATP-dependent helicase CHD3) (Mi-2 autoantigen 240 kDa protein) (Mi2-alpha) (Zinc finger helicase) (hZFH)	CHD3	Homo sapiens (Human)	2000
O00429	O00429	DNM1L_HUMAN	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
Q9P2P5	Q9P2P5	HECW2_HUMAN	reviewed	E3 ubiquitin-protein ligase HECW2 (EC 2.3.2.26) (HECT, C2 and WW domain-containing protein 2) (HECT-type E3 ubiquitin transferase HECW2) (NEDD4-like E3 ubiquitin-protein ligase 2)	HECW2 KIAA1301 NEDL2	Homo sapiens (Human)	1572
P22102	P22102	PUR2_HUMAN	reviewed	Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)]	GART PGFT PRGS	Homo sapiens (Human)	1010
Q9UQB8	Q9UQB8	BAIP2_HUMAN	reviewed	Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53)	BAIAP2	Homo sapiens (Human)	552
V9HWH0	V9HWH0	V9HWH0_HUMAN	unreviewed	Epididymis luminal protein 164	HEL164	Homo sapiens (Human)	322
